comment_id,comment_text,author_name,author_channel_id,published_at,like_count,total_reply_count
UgxvFlp61sTRbWj1iVN4AaABAg,Di forum ini ada penjilat...yg setuju mana jempolnya,@edwartdtampubolon8834,UCO5RAbBLWq2J4jRS3yr7mTw,2025-09-14T11:07:40Z,1,0
Ugxa7RjwjOgopWt69vZ4AaABAg,"Yang tidak kelihatan belum tentu begitu, maka lacak dengan proses yang benar . Kesimpulannya selidiki dengan benar. Berdasarkan fakta supaya ngak salah. Jangan sebentar bentar jadikan polisi kambing hitam. Cari hitam yang sebenar benarnya dan sesungguhnya",@pujis5416,UC-CnS95nC1rxet6N3BmKB1A,2025-09-14T10:39:20Z,1,1
UgwSas3vvimo5ghot914AaABAg,"Jangan jadi dosen bro, jadilah pengusaha atau direktur BUMN",@pujis5416,UC-CnS95nC1rxet6N3BmKB1A,2025-09-14T09:54:07Z,0,0
Ugz5U74DHmKbE_gNKGp4AaABAg,"Benar sekali Bukan Mahasiswa penjahatnya, kalau tidak ada penyusup yang Campur Mahasiswa,maka kerusuhan itu tidak akan pernah terjadi 🇮🇩",@suciletta4873,UC7Esi0pYzi2u_e4rfBcga3g,2025-09-14T09:12:58Z,0,0
Ugwp6rWjQiusUBrVrBl4AaABAg,Hebat Bung Pangi,@ibrahimlagonda-xd2lw,UCQeZGKrivZIqR2gMNDZl6bA,2025-09-14T09:01:38Z,0,0
UgyCkNcaWRTPIzjzHQV4AaABAg,Feri menuduh TNI,@RikihadiansyahErik,UCgO_gle4Fl6kixhu-TQP6Gw,2025-09-14T07:09:16Z,0,0
UgzxgTRl8oQvnIYtlDB4AaABAg,Harga mahal 👉 lebih baik bikin sendiri black garlic,@nuramir-f1q,UCR5MuK5871yzBn3Xk-ZRp5A,2025-09-14T04:00:35Z,0,0
UgybhU10w-MK8M_1zSF4AaABAg,Kangen si aiman ngundang lg si Roy suryo😂😂😂😂kangen cengengesannya,@yantosugianto8287,UCQomKN2C8SfxElj8-Ib-mrg,2025-09-14T03:52:31Z,0,0
UgwyAOH0kccc2PVoysB4AaABAg,Ferry Irwandi berhasil menyelamatkan DPR karena semua orang jadi tertuju ke dia bukan ke DPR Lagi wkwkwk  😂🤣,@Kepalapundaklututkaki,UCxtdngwbrh5DPpZb5l7CTbg,2025-09-14T03:39:56Z,1,0
Ugxp2PhdfG4uFsl-IGJ4AaABAg,"ini semua berangkat dari hati rakyat Karena memang selama ini legislative, yudikative, dan eksekutive tidak memikirkan rakyatnya 😡",@adriansyahkotta,UCB8NjS5TL_239ZUf_HUYuAA,2025-09-14T03:31:49Z,0,0
